event_date,event_class,satellite_timestamp,satellite_identifier,satellite_record_id,satellite_available,radar_available,lightning_available,nwp_available,time_utc,hour,minute,delta_minutes
2026-04-06,TSRA,2026-04-06 07:00:00+00:00,3SIMG_06APR2026_0700_L1B_STD_V01R00.h5,17470498,1,,,,07:00,7,0,30.0
2026-04-06,TSRA,2026-04-06 07:30:00+00:00,3SIMG_06APR2026_0730_L1B_STD_V01R00.h5,17470620,1,,,,07:30,7,30,30.0
2026-04-06,TSRA,2026-04-06 08:00:00+00:00,3SIMG_06APR2026_0800_L1B_STD_V01R00.h5,17470812,1,,,,08:00,8,0,30.0
2026-04-06,TSRA,2026-04-06 08:30:00+00:00,3SIMG_06APR2026_0830_L1B_STD_V01R00.h5,17470950,1,,,,08:30,8,30,30.0
2026-04-06,TSRA,2026-04-06 09:00:00+00:00,3SIMG_06APR2026_0900_L1B_STD_V01R00.h5,17471084,1,,,,09:00,9,0,30.0
2026-04-06,TSRA,2026-04-06 09:30:00+00:00,3SIMG_06APR2026_0930_L1B_STD_V01R00.h5,17471220,1,,,,09:30,9,30,30.0
2026-04-06,TSRA,2026-04-06 10:00:00+00:00,3SIMG_06APR2026_1000_L1B_STD_V01R00.h5,17471350,1,,,,10:00,10,0,30.0
2026-04-06,TSRA,2026-04-06 10:30:00+00:00,3SIMG_06APR2026_1030_L1B_STD_V01R00.h5,17471470,1,,,,10:30,10,30,30.0
2026-04-06,TSRA,2026-04-06 11:00:00+00:00,3SIMG_06APR2026_1100_L1B_STD_V01R00.h5,17471588,1,,,,11:00,11,0,30.0
2026-04-06,TSRA,2026-04-06 11:30:00+00:00,3SIMG_06APR2026_1130_L1B_STD_V01R00.h5,17471814,1,,,,11:30,11,30,30.0
2026-04-06,TSRA,2026-04-06 12:00:00+00:00,3SIMG_06APR2026_1200_L1B_STD_V01R00.h5,17471944,1,,,,12:00,12,0,30.0
2026-04-06,TSRA,2026-04-06 12:30:00+00:00,3SIMG_06APR2026_1230_L1B_STD_V01R00.h5,17472080,1,,,,12:30,12,30,30.0
2026-04-06,TSRA,2026-04-06 13:00:00+00:00,3SIMG_06APR2026_1300_L1B_STD_V01R00.h5,17472206,1,,,,13:00,13,0,30.0
2026-04-06,TSRA,2026-04-06 13:30:00+00:00,3SIMG_06APR2026_1330_L1B_STD_V01R00.h5,17472382,1,,,,13:30,13,30,30.0
2026-04-06,TSRA,2026-04-06 14:00:00+00:00,3SIMG_06APR2026_1400_L1B_STD_V01R00.h5,17472494,1,,,,14:00,14,0,30.0
2026-04-06,TSRA,2026-04-06 14:30:00+00:00,3SIMG_06APR2026_1430_L1B_STD_V01R00.h5,17472676,1,,,,14:30,14,30,30.0
2026-04-06,TSRA,2026-04-06 15:00:00+00:00,3SIMG_06APR2026_1500_L1B_STD_V01R00.h5,17472794,1,,,,15:00,15,0,30.0
2026-04-06,TSRA,2026-04-06 15:30:00+00:00,3SIMG_06APR2026_1530_L1B_STD_V01R00.h5,17472950,1,,,,15:30,15,30,30.0
2026-04-06,TSRA,2026-04-06 16:00:00+00:00,3SIMG_06APR2026_1600_L1B_STD_V01R00.h5,17473060,1,,,,16:00,16,0,30.0
2026-04-06,TSRA,2026-04-06 16:30:00+00:00,3SIMG_06APR2026_1630_L1B_STD_V01R00.h5,17473250,1,,,,16:30,16,30,30.0
2026-04-06,TSRA,2026-04-06 17:00:00+00:00,3SIMG_06APR2026_1700_L1B_STD_V01R00.h5,17473410,1,,,,17:00,17,0,30.0
2026-04-06,TSRA,2026-04-06 20:00:00+00:00,3SIMG_06APR2026_2000_L1B_STD_V01R00.h5,17473910,1,,,,20:00,20,0,180.0
2026-04-06,TSRA,2026-04-06 20:30:00+00:00,3SIMG_06APR2026_2030_L1B_STD_V01R00.h5,17473942,1,,,,20:30,20,30,30.0
2026-04-06,TSRA,2026-04-06 21:00:00+00:00,3SIMG_06APR2026_2100_L1B_STD_V01R00.h5,17474012,1,,,,21:00,21,0,30.0
2026-04-06,TSRA,2026-04-06 21:30:00+00:00,3SIMG_06APR2026_2130_L1B_STD_V01R00.h5,17474060,1,,,,21:30,21,30,30.0
2026-04-06,TSRA,2026-04-06 22:00:00+00:00,3SIMG_06APR2026_2200_L1B_STD_V01R00.h5,17474144,1,,,,22:00,22,0,30.0
2026-04-06,TSRA,2026-04-06 22:30:00+00:00,3SIMG_06APR2026_2230_L1B_STD_V01R00.h5,17474224,1,,,,22:30,22,30,30.0
2026-04-06,TSRA,2026-04-06 23:00:00+00:00,3SIMG_06APR2026_2300_L1B_STD_V01R00.h5,17474318,1,,,,23:00,23,0,30.0
2026-04-06,TSRA,2026-04-06 23:30:00+00:00,3SIMG_06APR2026_2330_L1B_STD_V01R00.h5,17474422,1,,,,23:30,23,30,30.0
